"CUSEC";"longitude";"latitude";"tot_pob"
"1501601005";-9,10495112742547;43,1766665584147;1079
"1501701001";-8,3502826437449;43,2947021965411;1395
"1501701002";-8,3661708946842;43,2834721598171;1472
"1501701003";-8,35666141819587;43,3133915143962;1922
"1501701004";-8,35564525059715;43,3200852502223;2303
"1501701005";-8,3398488300662;43,2998579461518;1686
"1501701006";-8,35149906863864;43,3032536418131;1275
"1501701007";-8,3602839835359;43,3195837624585;1614
"1501701008";-8,35549058857518;43,3162552670552;1662
"1501701009";-8,35579544919958;43,3058954053488;1560
"1501701011";-8,353950286786;43,3177960881041;1940
"1501701012";-8,34562911369992;43,2902998402411;962
"1501702001";-8,35682432357289;43,2698258256018;1307
"1501702002";-8,32246634990121;43,2645638971574;2221
"1501702003";-8,30486818294511;43,2976927937585;2254
"1501702004";-8,31374466229818;43,2786833688516;1043
"1501801001";-8,04220422643115;43,4449264004896;1242
"1501901001";-8,68926553570391;43,2136652091058;987
"1501901002";-8,69687694920839;43,2209593250339;1462
"1501901003";-8,68370883155504;43,2185404443184;2040
"1501901004";-8,69025348902185;43,2094674880139;1787
"1501901005";-8,69310167508095;43,2151826683665;1680
"1501901006";-8,70137444626955;43,2122023593464;913
"1501901007";-8,69374959754336;43,2002715211206;851
"1501901008";-8,72527276014203;43,2157055614774;670
"1501901009";-8,66789264152783;43,2284645984466;1377
"1501901010";-8,64079173232023;43,2161150736588;989
"1501901011";-8,65151687825945;43,1865225894285;594
"1501901012";-8,68088345799593;43,1812412502181;600
"1501901013";-8,74275201509518;43,2382712468286;960
"1501901014";-8,69314088498051;43,2479501226477;574
"1501901015";-8,62324899837475;43,1984488652901;845
"1501901016";-8,60505244697079;43,1711421719663;658
"1501901017";-8,6438365771043;43,1451668285907;999
"1501901019";-8,68012223050967;43,1318115514846;745
"1501901020";-8,71618772537049;43,2728876396443;809
"1501901021";-8,66558721427262;43,2787736105554;625
"1501901022";-8,62877622080939;43,293674286182;600
"1501901023";-8,69728275435134;43,2076401125745;1798
"1501901024";-8,70354911862273;43,2171209795509;1271
"1501901025";-8,68584450495332;43,212695024908;1038
"1501901026";-8,68728714211841;43,2178763577746;1488
"1501901027";-8,68842147722137;43,2223512064636;1751
"1501901029";-8,69431532805122;43,2116874246957;2140
"1501901030";-8,68868601301037;43,2070742696547;1163
"1502001001";-9,08495568105385;42,8220641469073;913
"1502001002";-9,1174066551701;42,7904175829389;1208
"1502002001";-9,0805976144383;42,8591503603732;732
"1502002002";-9,12006958271837;42,8787648653463;1001
"1502101001";-8,34744248039088;43,2326246251917;1215
"1502101002";-8,37273086856323;43,1886590836642;1139
"1502101003";-8,37683621056203;43,2246900286753;2361
"1502102001";-8,31280777999668;43,2409329053919;893
"1502102002";-8,355819784593;43,2457637968765;966
"1502201001";-8,05915116291215;43,671344228989;686
"1502201002";-8,04834511543343;43,6635918918886;2058
"1502201003";-8,05064682150963;43,6555169948694;1852
"1502201004";-8,009876349685;43,6821264022414;1391
"1502201006";-7,97924898376328;43,6546674017808;663
"1502301001";-9,15717339068116;42,9362197415504;1312
"1502301002";-9,18699722800986;42,9553481807163;2055
"1502301003";-9,19150915208322;42,9545788145887;1801
"1502302001";-9,21843967343947;42,9742438891159;1693
"1502302002";-9,19040007998017;42,9894454198681;707
"1502401001";-8,47666347471108;43,1856678217336;2004
"1502401002";-8,42650565534426;43,1936716162369;776
"1502401003";-8,4950776286056;43,1429702692873;1090
"1502401004";-8,54973766286852;43,1542191361621;1126
"1502501001";-7,96245707553332;43,6116866665101;1075
"1502701001";-8,13842521834003;43,2418196025876;1873
"1502801001";-9,19849982062693;42,9314589401273;1606
"1502901001";-8,77662010029443;43,1857915842817;1172
"1502901002";-8,80640366647041;43,2059132682706;649
"1502902001";-8,80519365547739;43,1371297521165;1110
"1502902002";-8,72804823511113;43,1351862074304;1407
"1502902003";-8,73769647190481;43,1962203584123;1540
"1503001001";-8,39603431874471;43,3700910105297;962
"1503001002";-8,39773643190484;43,3716623335319;829
"1503001003";-8,39349573482767;43,3706152107471;1290
"1503001004";-8,40600648472861;43,3694820207131;1547
"1503001005";-8,39164456642352;43,3705324676251;1364
"1503001006";-8,39778721440232;43,3724766818747;944
"1503001007";-8,40368933627466;43,3716289274784;2010
"1503001008";-8,40068191455043;43,3719532394502;1395
"1503001009";-8,40089738536999;43,3692781903919;1434
"1503001012";-8,40342644158523;43,3662326682672;1198
"1503002001";-8,39779177501711;43,3738888339812;1046
"1503002002";-8,39931126703654;43,3757215416683;780
"1503002003";-8,40178876420994;43,3741544023445;1774
"1503002004";-8,39563643656566;43,3736862511106;822
"1503002005";-8,39680336328778;43,3748668592218;1048
"1503002006";-8,39749383433291;43,3768158685831;1413
"1503002007";-8,39444648916051;43,3750366291791;1755
"1503002008";-8,39586511782411;43,378179864114;1980
"1503002009";-8,39965453903171;43,3781740522717;1878
"1503002010";-8,40129556328619;43,3775241725158;1368
"1503002011";-8,40348547272392;43,3761792565094;1092
"1503002012";-8,40317132543211;43,3772046860017;984
"1503002013";-8,40275210473836;43,3785277526127;1093
"1503002014";-8,40622412272469;43,3773237167915;981
"1503002015";-8,4048369951138;43,3783922210951;1358
"1503002016";-8,40519040253058;43,3798843292848;1055
"1503002017";-8,402547303248;43,3800212395697;1671
"1503002018";-8,40017600477456;43,380087437647;1750
"1503002019";-8,40100532714672;43,381113147471;788
"1503002020";-8,40852991685825;43,379485111817;1185
"1503002021";-8,40853444839857;43,3823100267506;1893
"1503002022";-8,39537870752937;43,3845215369825;1793
"1503002023";-8,40229140129629;43,3850080024576;1016
"1503003001";-8,40627810931537;43,366469090818;836
"1503003002";-8,40814755646141;43,3662314655334;1313
"1503003003";-8,40936027175439;43,365374252287;1460
"1503003004";-8,41157032243198;43,3642254592486;972
"1503003005";-8,40910832605647;43,3635998662034;1405
"1503003006";-8,40713378424833;43,363786886494;1181
"1503003007";-8,40514721094723;43,3622869886955;1457
"1503003009";-8,40929584198761;43,3623739823873;1221
"1503003010";-8,40956848179383;43,3612549268611;1213
"1503003011";-8,4073208870632;43,3614042258108;978
"1503003012";-8,40860453620267;43,3602433440821;920
"1503003013";-8,4086559438366;43,359377027356;1440
"1503003014";-8,40595905278432;43,3597591428471;1118
"1503003015";-8,40459699450473;43,3599685649316;1096
"1503003016";-8,40406651331238;43,3578732342863;1854
"1503003017";-8,40518651273692;43,3558340831318;1394
"1503003018";-8,40395686431423;43,3543658090048;1385
"1503003020";-8,40006657280719;43,3587007937234;1631
"1503003021";-8,41028965878731;43,3646049892811;817
"1503003022";-8,40067612863793;43,3561032444399;1015
"1503003023";-8,39526814276223;43,356382610503;674
"1503004001";-8,41468318968892;43,3617588207312;919
"1503004002";-8,41236798742017;43,3612847823657;1181
"1503004003";-8,41584395244057;43,3597766918449;1099
"1503004004";-8,41661967393899;43,3586968353578;1214
"1503004005";-8,41886101715697;43,3584692001149;1202
"1503004006";-8,41389305220045;43,3585425917207;1186
"1503004007";-8,40936963806817;43,3584244790122;1850
"1503004008";-8,40878770894313;43,3574327816417;1141
"1503004009";-8,40740301034467;43,3570816452734;1169
"1503004010";-8,40746324759347;43,355415683534;1623
"1503004011";-8,41018597099316;43,3549552801962;1155
"1503004012";-8,41018054246675;43,3565464802715;1183
"1503004013";-8,41213846350553;43,3568638267188;1575
"1503004014";-8,41385649207346;43,3566602870481;774
"1503004015";-8,41720058238707;43,3576239160776;1531
"1503004018";-8,40726048359907;43,3531148200518;1036
"1503004019";-8,4120279550501;43,3535443701973;855
"1503004020";-8,41237839217604;43,3507435759052;1306
"1503004021";-8,41266639239904;43,3550328172484;727
"1503004022";-8,41323320606626;43,3542762541167;1098
"1503004023";-8,41416781690321;43,3529257365863;1783
"1503004024";-8,41454954241612;43,3514722441151;809
"1503004025";-8,41117473017532;43,3556376695147;1033
